"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5496565",-118.459076274,34.2990672518,2012,"1942","0","1","4","03",0,2,"A",,,,,,1800,1,"C","C","A","SAN FERNANDO RD","POLK ST",50,"S","N","2013-06-17",1942,"2012-01-30",1710,"38033","1924","5","7","0","0",,"0","19TL72","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","C","A","0","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496554",-118.441702318,34.258184921,2012,"1942","0","4","2","-",0,1,"A",,,"Y",,,1800,1,"H","-","A","LEV AV","LOUVRE ST",0,,"Y","2013-06-19",1942,"2012-01-26",1615,"37161","1959","5","7","0","0",,"0","19A1","-","N",,0,0,,,0,,,,"N",1,"A","-",0,,"N","A","H","-","A","D","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496550",-118.439982285,34.157594912,2012,"1942","0","2","3","09",0,2,"A",,,,,,1800,1,"D","C","A","RIVERSIDE DR","HAZELTINE AV",0,,"Y","2013-06-08",1942,"2012-01-31",1530,"38356","0964","5","7","0","0","I","0","9TL52","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A","01",0,1,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496546",-118.418162344,34.1576149688,2012,"1942","0","1","3","09",0,2,"A",,,,,,900,1,"D","C","A","RIVERSIDE DR","ETHEL AV",0,,"Y","2013-06-08",1942,"2012-01-30",800,"37800","0969","5","7","0","0","I","0","10TL39","-","N",,0,0,,,0,,,,"Y",5,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A","08",0,1,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496545",-118.072722261,33.8803949687,2012,"1919","0","6","4","09",0,1,"A",,,,,,2400,1,"D","C","A","166TH ST","NORWALK BL",0,,"Y","2013-06-18",1900,"2012-01-28",2229,"277132","2318","5","5","0","0",,"0","232","-","N",,0,0,,,0,,,,"N",2,"A","-",21806,"A","N","A","H","-","C","A","0","Y","J","48",0,0,1,0,0,0,0,0,0,"-","-","CERRITOS","LOS ANGELES","CA",0,0
"5496542",-118.448722267,34.1648648765,2012,"1942","0","1","4","03",0,1,"A",,,,,,1200,1,"C","C","A","VAN NUYS","MAGNOLIA BL",0,"S","N","2013-06-08",1942,"2012-01-30",1020,"34482","0963","5","7","0","0","I","0","35MQ7","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496538",-118.42369673,34.1576048578,2012,"1942","0","1","3","09",0,2,"A",,,,,,1500,1,"D","C","A","RIVERSIDE DR","FULTON AV",350,"W","N","2013-06-08",1942,"2012-01-30",1315,"38033","0969","5","7","0","0","I","0","19TL72","-","N",,0,0,,,0,,,,"Y",2,"A","-",21804,"A","N","A","H","-","A","D","0","Y","A","01",0,1,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496406",-118.285037595,34.037101971,2012,"1942","1","5","4","03",0,1,"A",,,,,,1800,1,"C","C","A","RT 10","HOOVER ST",400,"W","N","2013-09-20",9590,"2012-01-27",1624,"20061",,"2","7","0","1",,"2","063","-","Y","LA",7,10,"-","R",14.052,"R","1","W","N",2,"A","-",22350,,"N","A","H","-","A","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.28617,34.03742
"5496399",-118.531262232,34.4333052722,2012,"1985","0","4","4","03",0,2,"A",,,,,,1200,1,"C","C","A","BOUQUET CANYON RD","SECO CANYON RD",84,"E","N","2013-07-09",1900,"2012-01-12",1035,"135095","0643","5","6","0","0",,"0","64T1","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","SANTA CLARITA","LOS ANGELES","CA",0,0
"5496393",-117.761622202,34.1180349065,2012,"1938","0","5","2","12",0,4,"A",,,,,,1500,1,"D","C","A","FRUIT ST","BOWDOIN ST",0,,"Y","2013-09-11",1938,"2012-01-27",1417,"477","217","5","4","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",3,"A","-",21453,"A","N","A","H","-","A","A","0","Y","-","-",2,0,2,0,0,0,0,0,0,"-","-","LA VERNE","LOS ANGELES","CA",0,0
